Text,Type
musical,Genre
two warriors are after a magical sword,Plot
chinese martial arts,Genre
chow yun fat,Actor
michelle yeoh,Actor
tyler perry,Actor
breaks out of his dress,Plot
famous detective,Plot
james patterson novels,Origin
2012,Year
action crime,Genre
tyler perry,Director
2010,Year
based on the play by ntozake shange,Origin
janet jackson,Actor
whoopi goldberg,Actor
vin diesel,Actor
planning a massive heist to buy their freedom while in the sights of a powerful brazilian drug lord and a dangerous federal agent,Plot
2011,Year
installment of this,Plot
movie series,Relationship
vin diesel,Actor
alien robot that a young boy is trying to save from being destroyed by the government,Plot
1999,Year
animated,Genre
vincente minnelli,Director
gene kelly,Actor
musical romance,Genre
three friends looking for work in france,Plot
walter matthau,Actor
tries to get his uptight friend and roommate,Plot
jack lemmon,Actor
to have a little fun and relax more,Plot
hilarious,Opinion
neil simon,Director
comedy,Genre
werner herzog,Director
biographical documentary,Genre
timothy treadwell,Character_Name
amie huguenard,Character_Name
bear activists who were killed while living among them in alaska,Plot
wes anderson,Director
roald dahl s popular children s book,Origin
fox who must help his friends and family survive the onslaught of local farmers,Plot
action romantic comedy,Genre
jennifer aniston,Actor
gerard butler,Actor
he has to kill his ex wife,Plot
animated film,Genre
the ship in the museum,Plot
based on an old comic book with the blond kid,Origin
aronofsky,Director
natalie portman,Actor
ballerina who is having hallucinations building up to the final and most intense role in her career,Plot
awesome funny,Opinion
jennifer anniston,Actor
the guys start a pyramid scheme and almost get fired,Plot
michael bolton,Character_Name
kevin smith,Director
bruce willis,Actor
where he s searching for a rare baseball card,Plot
keanu reeves,Actor
he s driving a bus and must stay at a speed of greater than 50 miles per hour,Plot
patrick swayze,Actor
dies and he talks to his wife,Plot
demi moore,Actor
whoopi goldberg,Actor
zoo animals join the circus and perform in front of a giant crowd in stunning fashion,Plot
quentin tarantino,Director
stop animation,Genre
the creepy dolls with button eyes she travels to an alternate universe where her mother seems nice but is evil,Plot
stupid overrated,Opinion
about interplanetary fighting there are jedis,Plot
harrison ford,Actor
super slow paced,Opinion
ryan gostling,Actor
nobody says anything the whole time,Plot
sweet,Opinion
animated,Genre
johnny depp,Actor
awesome,Opinion
2011,Year
rob pattinson,Actor
about a man who runs away with the circus and falls in love with the boss wife,Plot
bogart,Actor
he runs into some bandits who claim to be policia yet have no badges,Plot
camp comedy musical classic,Genre
susan sarandon,Actor
time warp,Soundtrack
classic,Genre
brando,Actor
tells his backstabbing brother that he could ve been a contender,Plot
comedy,Genre
classic,Opinion
a serious director decides to throw it all away and hit the streets as a bum,Plot
comedy,Genre
three disgruntled white collar workers scheme to slowly steal from their company,Plot
classic,Opinion
group of men who drive highly explosive material a long distance,Plot
horror,Genre
a new chemical agent turns a town into zombie like creatures,Plot
italian,Genre
made up of cartoons set to classical music a la fantasia,Plot
a poor boy who becomes a rich man but all he wants is his childhood sled,Plot
zimba,Character_Name
leaving his jungle after believing he was responsible for his father s death,Plot
based on a shakespeare play,Origin
moor of venice doubts the virtue of his wife,Plot
based on a true story,Origin
about the mod s involvement in the history of las vegas,Plot
kristen wiig,Actor
she is jealous about her friend getting married,Plot
comedy,Genre
based on a true story,Origin
a man who frequently escapes prison,Plot
gangsters running gambling in las vegas,Plot
nathan lane,Actor
matthew broderick,Actor
intentionally try to create the worlds worst play,Plot
girls in a mental institute who live in an alternate reality,Plot
emily browning,Actor
vanessa hudgens,Actor
takes place in roadside diner and is about the ultimate fight of heaven and humanity,Plot
film crew stumbles on a heck of a big monkey,Plot
a group of elite military personnel must save a major city from aliens,Plot
a younger brother excels at boxing to make up for the failure of his older brother,Plot
brad pitt,Actor
morgan freeman,Actor
track a moralistic killer in chicago,Plot
two detectives are searching for a serial killer and it ends with a tragic surprise in a box,Plot
jake gyllenhaal,Actor
a prince in the desert and almost gets killed,Plot
john hurt,Actor
mickey rourke,Actor
the man who helps the gods beat the titans,Plot
john wayne,Actor
you re not sure if he s going to rescue or kill a girl,Plot
natalie portman,Actor
mila kunis,Actor
about a ballet show,Plot
mila kunis,Actor
character is crazy,Plot
russell crowe,Actor
genius mathematician who gets a job in cryptography,Plot
buddy cop,Genre
will ferrell,Actor
mark wahlberg,Actor
try to stop bad bankers from raiding the police s pension fund,Plot
famous,Opinion
marlon brando,Actor
i coulda been a contender,Quote
martial film,Genre
ang lee,Director
chow yun fat,Actor
hunts for a sword in the hands of,Plot
ziyi zhang,Actor
toto,Character_Name
guy in the wheelchair and that actress from aliens and they re on an alien planet that s full of animals and plants,Plot
a bunch of kids from england end up on a boat and one of them turns into a dragon,Plot
the kid has to use a laser sword to fight off that guy with the really creepy voice,Plot
old man ties countless balloons to his home,Plot
animated kids,Genre
about a lizard,Plot
johnny depp,Actor
classic,Opinion
no one believes the guy who claims to be santa claus,Plot
comedy,Genre
jennifer anniston,Actor
plays a sexually deviant character,Plot
family,Genre
a man with two kids takes care of lots of penguins in his apartment,Plot
johnny depp,Actor
captain jack sparrow,Character_Name
pixar,Genre
tim allen,Actor
tom hanks,Actor
woody,Character_Name
buzz lightyear,Character_Name
a man trying to find a woman in his dream and leads him through a totalitarian government ran country,Plot
giant green lizard goes on a rampage in a city,Plot
morgan freeman,Actor
brad pitt,Actor
playing investigators hunting a religious serial killer in the big city,Plot
the guy who builds a son out of wood and his nose gets really long when he lies,Plot
remake,Relationship
moe larry,Character_Name
curly,Character_Name
larry david,Actor
plays a nun,Plot
ginnifer goodwin,Actor
kate hudson,Actor
a unlucky in love girl falls in love with her best friend s fiance,Plot
matrix,Character_Name
titanic,Character_Name
where they try to save the world,Plot
amy adams,Actor
estranged adult child of,Plot
clint eastwood,Actor
s character who is heavy into the baseball world and she meets a guy along the way,Plot
science fiction,Genre
adrien brody,Actor
they make new animals by mixing together other animals,Plot
soderbergh,Director
traces a deadly virus as it makes its way around the globe,Plot
terry gilliam,Director
bruce willis,Actor
time travel,Plot
brad pitt,Actor
anarchist group,Plot
wes craven,Director
horror,Genre
serial killer,Plot
freddy krueger,Character_Name
kills people in their dreams,Plot
trippy,Opinion
fellini,Director
a director trying to make a movie among various distractions,Plot
true life,Genre
johnny depp,Actor
ringleader of a massive drug cartel,Plot
truffaut,Director
a theater troupe that tries to mount plays during the nazi occupation,Plot
ultra violent chinese,Genre
ends in a prolonged shootout between cops and bad guys in a hospital,Plot
coen brothers,Director
a guy who finds a lot of money also attracts a killer,Plot
violent,Genre
ryan goslin,Actor
does all sorts of nasty stuff to bad guys to protect a wife and kid,Plot
1930,Year
ernst lubitsch,Director
jeanette macdonald,Actor
took place in a famous european gambling city,Plot
beyond the blue horizon,Soundtrack
1931,Year
featured a man hunt in germany for a child killer aided by police and other criminals alike,Plot
1931,Year
depicts the creation of an monster made up of parts of dead people,Plot
1934,Year
jean vigo,Director
one of the best of all time,Opinion
michel simon,Actor
p re jules,Character_Name
1935,Year
musical,Genre
groucho marx chico marx harpo marx kitty carlisle,Actor
allan jones,Actor
1937,Year
french war,Genre
jean renoir,Director
french officers attempting to escape pow camp,Plot
1938,Year
howard hawks,Director
romantic comedy,Genre
katharine hepburn cary grant charles ruggles,Actor
barry fitzgerald,Actor
1939,Year
frank capra,Director
drama,Genre
james stewart jean arthur claude rains edward arnold,Actor
thomas mitchell,Actor
1939,Year
oscar winning,Award
based on a novel by author margaret mitchell,Origin
1939,Year
victor fleming,Director
a girl named dorothy who gets swept away to a magical land,Plot
1940,Year
dramatic,Genre
a poor midwest family that is forced off their land,Plot
1940,Year
romantic comedy,Genre
a newspaper editor who tries to keep his ace reporter ex wife from remarrying,Plot
1941,Year
john huston,Director
crime drama,Genre
humphrey bogart mary astor peter lorre,Actor
gladys george,Actor
1941,Year
orson welles,Director
oscar for best writing,Award
1942,Year
best picture oscar winning,Award
unoccupied africa during the early days of world war ii,Plot
1942,Year
michael curtiz,Director
romantic war drama,Genre
humphrey bogart ingrid bergman,Actor
paul henreid,Actor
1942,Year
best music original song oscar win,Award
white christmas,Soundtrack
1942,Year
romance,Genre
a complicated love affair set in africa during the early days of world war ii,Plot
1942,Year
romance,Genre
michael curtiz,Director
3 oscars,Award
1945,Year
elia kazan,Director
centers around a young woman coming of age during the early 1900 s,Plot
1945,Year
around a woman who is tempted to cheat on her husband with a stranger in a railway station,Plot
1946,Year
frank capra,Director
centers around the life of,Plot
george bailey,Character_Name
in bedford falls,Plot
1946,Year
john huston,Director
documentary,Genre
the final entry in a trilogy,Relationship
1948,Year
a man driving his cattle when his adopted son turns against him,Plot
1948,Year
won 3 oscars,Award
humphrey bogart,Actor
prospecting for gold in mexico,Plot
1949,Year
george cukor,Director
romantic comedy,Genre
husband and wife working as opposing lawyers in a case involving a woman who shot her husband,Plot
1950,Year
george sidney,Director
biopic,Genre
won the oscar for best music scoring of a musical picture,Award
1950,Year
joseph l mankiewicz,Director
six oscar wins including best writing,Award
best directing,Award
best picture,Award
1951,Year
george stevens,Director
a poor boy working for his rich uncle and ends up falling in love with two women,Plot
1952,Year
fred zinnemann,Director
western,Genre
best leading actor oscar win,Award
gary cooper,Actor
1953,Year
crime drama,Genre
a tough cop taking on a politically powerful crime syndicate,Plot
1953,Year
centers on an army despatch rider who discovers a woman and her son living in the midst of warring apaches,Plot
1953,Year
western,Genre
based on the 1949 novel of the same name by jack schaefer,Origin
1954,Year
classic,Opinion
barbara streisand,Actor
remake,Origin
rock musical,Genre
in the 70,Plot
kris kristofferson,Actor
frank pierson,Director
1954,Year
elia kazan,Director
crime,Genre
an ex prize fighter turned longshoreman struggling to stand up to corrupt union bosses,Plot
1956,Year
walter lang,Director
yul brynner,Actor
deborah kerr,Actor
1957,Year
drama,Genre
an aging professor confronting the emptiness of his existence after having living a life marked by coldness,Plot
1957,Year
king vidor,Director
audrey hepburn,Actor
henry fonda,Actor
napoleon s,Character_Name
tumultuous relations with russia,Plot
1957,Year
stanley donen,Director
romantic comedy,Genre
audrey hepburn fred astaire kay thompson,Actor
michel auclair,Actor
1958,Year
alfred hitchcock,Director
based on a novel by boileau narcejac,Origin
james stewart,Actor
john scottie ferguson,Character_Name
1958,Year
alfred hitchcock,Director
thriller,Genre
james stewart kim novak,Actor
barbara bel geddes,Actor
1959,Year
billy wilder,Director
comedy,Genre
tony curtis,Actor
jack lemmon,Actor
musicians who witness a mob hit,Plot
1959,Year
billy wilder,Director
comedy,Genre
marilyn monroe tony curtis jack lemmon,Actor
george raft,Actor
1960,Year
french horror,Genre
georges franju,Director
1960,Year
stanley kubrick,Director
centered around a slave that leads a violent revolt against the decadent roman republic,Plot
1961,Year
musical drama,Genre
two youngsters from rival nyc gangs who fall in love,Plot
1961,Year
robert rossen,Director
sport drama,Genre
paul newman jackie gleason piper laurie,Actor
george c scott,Actor
1962,Year
classic western,Genre
jimmy stewart,Actor
john wayne,Actor
nominated for an oscar,Award
1962,Year
david lean,Director
biopic,Genre
the story of a flamboyant and controversial british military figure,Plot
1964,Year
julie andrews,Actor
a magical nanny who works for a banker,Plot
1965,Year
cartoon,Genre
classic,Genre
charlie brown,Character_Name
snoopy,Character_Name
1965,Year
george cukor,Director
best director oscar,Award
oscar for best picture,Award
1965,Year
musical,Genre
based on a rogers and hammerstein musical of the same name,Origin
von trapp,Character_Name
1965,Year
robert stevenson,Director
hayley mills dean jones dorothy provine,Actor
roddy mcdowall,Actor
1966,Year
ingmar bergman,Director
centered around a nurse who is charge of an actress,Plot
1966,Year
james hill,Director
family drama,Genre
a husband and wife raising a lion cub,Plot
1966,Year
sergio leone,Director
western adventure,Genre
clint eastwood,Actor
eli wallach,Actor
bounty hunting scam,Plot
1967,Year
arthur penn,Director
biopic,Genre
warren beatty faye dunaway michael j pollard,Actor
gene hackman,Actor
1967,Year
elizabeth taylor,Actor
richard burton,Actor
someone who needs to get married so the sister can get married too,Plot
1967,Year
musical comedy,Genre
the adventures of the beatles on a special charter bus,Plot
1967,Year
romantic comedy,Genre
robert redford,Actor
a young lawyer,Plot
jane fonda,Actor
his vivacious wife,Plot
1968,Year
gene saks,Director
comedy,Genre
jack lemmon,Actor
walter matthau,Actor
1968,Year
sergio leone,Director
western adventure,Genre
a mysterious stranger with a harmonica who protects a widow,Plot
1969,Year
american road movie,Genre
1969,Year
western,Genre
best leading actor oscar,Award
john wayne,Actor
rooster cogburn,Character_Name
1970,Year
in 1825 and centers around an english aristocrat who is captured by indians,Plot
1970,Year
oscar winner,Award
best picture,Award
best leading actor oscar win,Award
george c scott,Actor
1970,Year
robert altman,Director
about the korean war,Plot
1971,Year
comedy,Genre
a young rich man obsessed with death until he meets an interesting woman at a funeral,Plot
1971,Year
musical,Genre
takes place in pre revolutionary russia,Plot
topol norma crane,Actor
leonard frey,Actor
1971,Year
sergio martino,Director
thriller,Genre
centers around the death of a millionaire and then to the death of his suddenly rich wife,Plot
1972,Year
john wayne roscoe lee browns bruce dern colleen dewhurst,Actor
alfred barker jr,Actor
1972,Year
romantic comedy,Genre
the accidental mix up of four identical overnight bags,Plot
1972,Year
romantic drama,Genre
marlon brando,Actor
maria schneider,Actor
a couple with a relationship based only on sex,Plot
1973,Year
francois truffaut,Director
romantic comedy,Genre
jacqueline bisset,Actor
jean pierre leaud,Actor
valentina cortese,Actor
1973,Year
george roy hill,Director
oscar winning,Award
paul newman robert redford,Actor
robert shaw,Actor
1973,Year
barbara streisand,Actor
robert redford,Actor
a couple with a wonderful romance but different political views that eventually drive them apart,Plot
1974,Year
american comedy,Genre
mel brooks,Director
parody of the classical frankenstein horror fim,Origin
1974,Year
billy wilder,Director
jack lemmon walter matthau susan sarandon,Actor
vincent gardenia,Actor
1974,Year
mel brooks,Director
western comedy,Genre
cleavon little gene wilder madeline kahn,Actor
slim pickens,Actor
1974,Year
stop motion animated tv special,Genre
kris kringle,Character_Name
running into the heater miser,Plot
1975,Year
steven spielberg,Director
adventure horror,Genre
roy scheider robert shaw,Actor
richard dreyfuss,Actor
1976,Year
marin scorsese,Director
drama,Genre
a mentally unstable vietnam war veteran who works nights in new york city,Plot
1976,Year
rene daalder,Director
centered around a high school student who resorts to murdering bullies,Plot
1976,Year
richard donner,Director
horror,Genre
gregory peck,Actor
as an american ambassador,Plot
lee remick,Actor
1976,Year
romantic comedy,Genre
based on a neil simon play,Origin
robert redford,Actor
jane fonda,Actor
1976,Year
western,Genre
centered around a dying gunfighter spending his last days looking for a way to die with dignity,Plot
1977,Year
george lucas,Director
sci fi,Genre
mark hamill harrison ford carrie fisher,Actor
alec guinness,Actor
1977,Year
musical drama,Genre
john travolta,Actor
a brooklyn man who feels his only chance to get somewhere is be king of the disco floor,Plot
1977,Year
steven spielberg,Director
sci fi adventured,Genre
richard dreyfuss,Actor
making a mountain out of mashed potatoes,Plot
1978,Year
john carpenter,Director
horror,Genre
jamie lee curtis,Actor
running from a crazed killer,Plot
1978,Year
richard donner,Director
sci fi,Genre
christopher reeve margot kidder gene hackman,Actor
ned beatty,Actor
1978,Year
romantic comedy,Genre
a wealthy woman who struggles with her identity after her husband of 16 years leaves her for a younger woman,Plot
1979,Year
set in new england where a businessman is visited by three ghosts on christmas eve,Plot
1979,Year
jon voight,Actor
ex boxer who works as a horse trainer and raises his son,Plot
1979,Year
ridley scott,Director
sci fi horror,Genre
sigourney weaver,Actor
part of a commercial deep space mining ship crew,Plot
1980,Year
american film,Genre
single woman moving to san fransisco during the holidays whil trying to get her life back togeather after a divorce,Plot
1980,Year
best picture oscar,Award
best director oscar,Award
robert redford,Actor
1980,Year
harold ramis,Director
sport comedy,Genre
place at an exclusive golf course that has a dancing gopher,Plot
1980,Year
stanley kubrick,Director
stephen king novel,Origin
1980,Year
stanley kubrick,Director
horror,Genre
set in an isolated hotel,Plot
jack nicholson,Actor
1981,Year
biopic,Genre
faye dunaway,Actor
depicted the abusive adoptive upbringing of,Plot
christina crawford,Character_Name
1981,Year
lawrence kasdan,Director
thriller,Genre
centered around the love affair of small town lawyer and his rich girlfriend,Plot
1981,Year
steve gordon,Director
romantic comedy,Genre
dudley moore liza minnelli john gielgud,Actor
jill eikenberry,Actor
1981,Year
terry gilliam,Director
comedy,Genre
sean connery shelley duvall john cleese,Actor
katherine helmond,Actor
1982,Year
best picture oscar winner,Award
best leading actor oscar,Award
ben kingsley,Actor
1982,Year
horror,Genre
a man who seeks vengeance against the doctors who separated him against his will from his siamese twin brother,Plot
1982,Year
ridley scott,Director
sci fi,Genre
harrison ford,Actor
man who has to track down and terminate 4 replicants,Plot
1982,Year
sci fi thriller,Genre
harrison ford rutger hauer sean young edward james olmos,Actor
daryl hannah,Actor
1983,Year
harold ramis,Director
comedy,Genre
griswold,Character_Name
family cross country driving to theme park walley world,Plot
1983,Year
horror,Genre
a friendly st bernard dog which had contracted rabies,Plot
1983,Year
mike nichols,Director
biopic,Genre
meryl streep,Actor
starring role as a,Plot
1983,Year
a family traveling across the country to visit the theme park known as wally world,Plot
1983,Year
al pacino,Actor
a cuban immigrant taking over a drug cartel,Plot
1984,Year
action,Genre
based on the invasion of a small colorado town by an alliance of the cuban and russian militarily and the some of the wolverines efforts to oust the occupiers,Plot
1984,Year
alex cox,Director
comedy,Genre
harry dean stanton emilio estevez olivia barash,Actor
tracey walter,Actor
1984,Year
alex cox,Director
cult film,Genre
emilio estevez tracey walter,Actor
harry dean stanton,Actor
1984,Year
barry levinson,Director
sport drama,Genre
centered around an average baseball player out of nowhere to become a legendary player,Plot
1984,Year
family,Genre
ralph macchio,Actor
a bullied boy,Plot
elisabeth shue,Actor
as his girlfriend and,Plot
pat morita,Actor
as his mentor,Plot
1984,Year
historical biopic,Genre
centered around a photographer trapped in cambodia during a violent time,Plot
1984,Year
ivan reitman,Director
bill murray dan aykroyd sigourney weaver annie potts,Actor
harold ramis,Actor
1984,Year
james cameron,Director
a robotic assassin from a post apocalyptic future sent back in time to eliminate a waitress,Plot
1984,Year
james cameron,Director
arnold schwarzenegger,Actor
spawned three sequels,Relationship
1984,Year
milos forman,Director
musical biopic,Genre
f murray abraham tom hulce,Actor
elizabeth berridge,Actor
1985,Year
fantasy,Genre
tom cruise,Actor
a boy who must stop the lord of darkness from killing all that is good in the world,Plot
1985,Year
fantasy,Genre
tom cruise,Actor
trying to keep,Plot
tim curry,Actor
from killing off the last of the unicorns,Plot
1985,Year
harold becker,Director
coming of age movie,Genre
finds a high school student wanting to be something more,Plot
1985,Year
john huston,Director
jack nicholson,Actor
kathleen turner,Actor
professional hit people,Plot
1985,Year
science fiction,Genre
michael j fox,Actor
going back in time with a delorean,Plot
1985,Year
steven spielberg,Director
showed the life and trials of a young african american woman,Plot
1986,Year
oscar winning best picture,Award
oliver stone,Director
best director oscar,Award
1986,Year
sports,Genre
gene hackman,Actor
coach of a high school team,Plot
1987,Year
brian depalma,Director
kevin costner,Actor
eliot ness,Character_Name
out to stop,Plot
al capone,Character_Name
1987,Year
comedy,Genre
nicolas cage,Actor
holly hunger,Actor
a childless couple who kidnap a family member s child,Plot
1987,Year
an evil prince his six fingered henchman and a swordsman hero named,Plot
inigo montoya,Character_Name
1987,Year
stanley kubrick,Director
showed what it s like to be in the u s marine bootcamp,Plot
1988,Year
comedy,Genre
live action,Genre
animation,Genre
1988,Year
gary marshall,Director
chick flick,Genre
a rich debutante and a cynical entertainer who share an enduring childhood friendship through the years,Plot
1988,Year
romantic comedy,Genre
a baseball fan who has affair with a minor league player,Plot
1988,Year
ron howard,Director
shows a reluctant dwarf playing a critical role in protecting a special baby,Plot
1989,Year
comedy,Genre
chevy chase,Actor
clark griswold,Character_Name
beverly d angelo,Actor
ellen,Character_Name
1989,Year
drama,Genre
dolly parton sally field shirley maclaine,Actor
julia roberts,Actor
1990,Year
american crime film,Genre
the rise and fall of the lucchese crime family,Plot
1990,Year
chris columbus,Director
family comedy,Genre
macaulay culkin joe pesci daniel stern,Actor
john heard,Actor
1990,Year
crime drama,Genre
robert de niro,Actor
a mob type gangster,Plot
james conway,Character_Name
1990,Year
jeannot szwarc,Director
a chicago playwright who uses self hypnosis to find the actress whose vintage portrait hangs in a grand hotel,Plot
1990,Year
kevin costner,Actor
multiple oscar wins,Award
best picture best director and best writing,Award
1990,Year
martin scorsese,Director
biopic,Genre
henry hill,Character_Name
and his friends as they work their way up through the mob hierarchy,Plot
1990,Year
martin scorsese,Director
robert deniro ray liotta,Actor
joe pesci,Actor
mobsters,Plot
1990,Year
sci fi,Genre
man in the future who goes in for virtual vacation memories but then faces unforeseen consequences,Plot
1990,Year
tim burton,Director
johnny depp,Actor
winona ryder,Actor
1991,Year
animated disney,Genre
tells the tale of a love story between two unlikely lovers,Plot
1991,Year
family comedy,Genre
steve martin,Actor
diane keaton,Actor
remake,Relationship
spencer tracy classic,Relationship
1991,Year
jessica tandy,Actor
best supporting actress oscar,Award
ninny threadgoode,Character_Name
1991,Year
musical comedy,Genre
centers around characters,Plot
janet,Character_Name
and,Plot
brad,Character_Name
as they become game show contestants,Plot
1992,Year
clint eastwood,Actor
centered around a retired old west gunslinger who reluctantly takes one last job,Plot
1992,Year
neil jordan,Director
dramatic,Genre
a british soldier kidnapped by ira terrorists,Plot
1993,Year
drama,Genre
steven speilberg,Director
liam neeson,Actor
schindler,Character_Name
in nazi germany,Plot
1993,Year
anna paquin,Actor
the academy award for best supporting actress,Award
1993,Year
jane campion,Director
romantic drama,Genre
mute woman lusted after by a local worker,Plot
1993,Year
steven spielberg,Director
best picture oscar winner,Award
liam neeson ralph fiennes,Actor
ben kingsley,Actor
1993,Year
steven spielberg,Director
sci fi,Genre
sam neill laura dern jeff goldblum,Actor
richard attenborough,Actor
1993,Year
wayne wang,Director
the life histories of four asian women and their daughters,Plot
1994,Year
james cameron,Director
1994,Year
jan de bont,Director
thriller,Genre
centered around a young cop who tries to keep a bomb on a bus from exploding,Plot
1994,Year
lawrence kasdan,Director
biopic,Genre
kevin costner dennis quaid gene hackman,Actor
david andrews,Actor
1994,Year
robert redford,Director
oscar nominated,Award
ralph fiennes john turturro,Actor
rob morrow,Actor
1995,Year
chick flick,Genre
clint eastwood,Actor
photographer,Plot
robert kincaid,Character_Name
meryl streep,Actor
his,Plot
1995,Year
dark crime,Genre
morgan freeman,Actor
veteran detective,Plot
bradd pitt,Actor
rookie,Plot
1995,Year
family,Genre
pig raised by sheep dogs with a little help from farmer hoggett,Plot
1995,Year
japanese anime science fiction,Genre
based on the manga by masamune shirow,Origin
1995,Year
jerry zuker,Director
romantic drama adventure,Genre
sean connery richard gere,Actor
julia ormond,Actor
1995,Year
john lasseter,Director
animated family,Genre
tom hanks,Actor
tim allen,Actor
1995,Year
martin scorsese,Director
biopic,Genre
centered around greed deception money power and murder between two mobster best friends,Plot
1995,Year
a man on the run after committing murder who takes a journey into the spiritual world,Plot
1995,Year
romantic comedy,Genre
kevin kline,Actor
meg ryan,Actor
1995,Year
tim robbins,Actor
crime drama,Genre
best leading actress oscar,Award
susan sarandon,Actor
1996,Year
billy bob thornton,Actor
a lifelong hospitalized man who is released to start a new life in a small town,Plot
1996,Year
cameron crowe,Director
romantic comedy,Genre
cuba gooding jr,Actor
show me the money,Plot
1996,Year
ethan,Director
joel coen,Director
best leading actress oscar,Award
frances mcdormand,Actor
1996,Year
family movie,Genre
paul hogan,Actor
sandy ricks,Character_Name
elijah wood,Actor
troubled nephew,Plot
1996,Year
mike nichols,Director
robin williams,Actor
nathan lane,Actor
a miami based gay couple,Plot
1997,Year
i m the king of the world,Quote
1997,Year
james cameron,Director
leonardo dicaprio,Actor
m the king of the world,Quote
1997,Year
john woo,Director
thriller,Genre
john travolta,Actor
nicolas cage,Actor
men who undergo a revolutionary medical technique,Plot
1998,Year
robert deniro,Actor
a freelance former us intelligence agent tracking down a mysterious package,Plot
1998,Year
romantic comedy,Genre
gwyneth paltrow,Actor
academy award for best picture,Award
1998,Year
steven spielberg,Director
war,Genre
tom hanks matt damon edward burns,Actor
tom sizemore,Actor
1999,Year
action,Genre
brad pitt,Actor
edward norton,Actor
meat loaf,Actor
1999,Year
nicholas cage,Actor
as an ambulance paramedic struggling to keep his sanity,Plot
1999,Year
julie taymor,Director
historical thriller,Genre
film adaptation of a william shakespeare play,Origin
1999,Year
mike judge,Director
comedy,Genre
ron livingston jennifer aniston david herman,Actor
diedrich bader,Actor
1999,Year
based on the stephen king novel,Origin
the lives of guards on death row,Plot
1999,Year
haley joel osment,Actor
cole sear,Character_Name
a boy who communicated with spirits,Plot
1999,Year
oliver stone,Director
sports drama,Genre
al pacino dennis quaid cameron diaz,Actor
james woods,Actor
1999,Year
sci fi,Genre
centers around a computer hacker who learns about reality from mysterious rebels,Plot
2000,Year
ridley scott,Director
best leading actor oscar win,Award
russell crowe,Actor
best picture oscar win,Award
2001,Year
animated drama,Genre
a man shuffling through a dream where he meets different people,Plot
2001,Year
garry marshall,Director
julie andrews,Actor
anne hathaway,Actor
2001,Year
peter jackson,Director
elijah wood,Actor
based off of the j r r tolkien book of the same name,Origin
2001,Year
pixar,Director
animated,Genre
kevin spacey,Actor
misfit ant,Plot
2002,Year
biographical drama,Genre
roman polanski,Director
a young musician trying to survive in the warsaw ghetto,Plot
2002,Year
sam mendes,Director
tom hanks,Actor
paul newman,Actor
2004,Year
martin scorsese,Director
biopic,Genre
best supporting actress oscar,Award
cate blanchett,Actor
2005,Year
documentary,Genre
danny trejo from his troubled childhood through present day,Plot
2005,Year
james mangold,Director
biopic,Genre
the lives of johnny cash and june carter cash,Plot
2005,Year
ron howard,Director
biopic,Genre
the story of,Plot
james braddock,Character_Name
a washed up boxer who came back to become a champion,Plot
2006,Year
a magician uses his abilities to secure the love of a woman,Plot
2007,Year
biopic,Genre
jean dominique bauby,Character_Name
his trouble with locked in syndrome,Plot
2007,Year
parody comedy,Genre
made fun of everyone from the jonas brothers tiger woods and the twilight series,Plot
2007,Year
sports drama,Genre
shimit amin,Director
indian field hockey players,Plot
2008,Year
disney pixar,Director
classic,Genre
the adventure of a lonely waste collecting robot who goes on a journey in outer space,Plot
2008,Year
dreamworks,Director
computer animated martial arts comedy,Genre
jack black,Actor
angelina jolie,Actor
2008,Year
japanese animated fantasy,Genre
hayao miyazaki,Director
brunhilde,Character_Name
the fish girl,Plot
2009,Year
horror,Genre
place in the year 2019 when a plague has transformed almost every human into vampires,Plot
2009,Year
james cameron,Director
sam worthington zoe saldana stephen lang,Actor
sigourney weaver,Actor
2009,Year
rob zombie,Director
horror,Genre
laurie strode,Character_Name
michael,Character_Name
2010,Year
action adventure comedy,Genre
tom cruise,Actor
troubled spy,Plot
2010,Year
action,Genre
danny trejo,Actor
continuation of a trailer,Relationship
film grindhouse,Relationship
2010,Year
action movie,Genre
angelina jolie,Actor
a cia agent on the run after being accused of being a russian spy,Plot
2010,Year
allen coulter,Director
romantic drama,Genre
centered on two new lovers,Plot
robert pattinson,Actor
emilie de ravin,Actor
2010,Year
american supernatural,Genre
group of strangers including arch angel,Plot
micheal,Character_Name
fighting for the fate of humanity,Plot
2010,Year
andy tennant,Origin
romantic comedy,Genre
jennifer aniston gerard butler gio perez,Actor
joel garland,Actor
2010,Year
animated comedy,Genre
a criminal mastermind who uses a trio of girls as pawns for a grand scheme,Plot
2010,Year
brian levant,Director
jackie chan amber valletta billy ray cyrus,Actor
madeline carroll,Actor
2010,Year
comedy,Genre
a record company intern hired to accompany an out of control british rock star,Plot
2010,Year
drama,Genre
efforts of,Plot
joan and aileen crowley,Character_Name
to find a researcher who might develop a cure for their children s rare genetic disorder,Plot
2010,Year
fantasy adventure,Genre
jay baruchel,Actor
nicholas cage,Actor
2010,Year
garry marshall,Director
romantic comedy,Genre
julia roberts jamie foxx anne hathaway,Actor
jessica alba,Actor
2010,Year
horror,Genre
sequal,Relationship
the haunting of a home in carlsbad california,Plot
2010,Year
horror thriller,Genre
a troubled evangelical minister agreeing to be filmed by a documentary crew,Plot
2010,Year
james mangold,Director
story of a girl who gets mixed up with a spy trying to clear his name,Plot
2010,Year
jay roach,Director
